customer_id,account_tenure_months,avg_monthly_spend,home_zip,credit_score_band,risk_tier,delinquency_flag,occupation,segment,profile_summary
acct_0000901,226,172.87,10394,good,low,1,Teacher,prime,Long-term cardholder with good credit and stable spending habits.
acct_0000902,224,522.82,13811,excellent,low,1,Software Engineer,prime,"Excellent credit and high monthly spend, demonstrating financial stability."
acct_0000903,229,136.17,29721,excellent,low,1,Graphic Designer,prime,"Consistent spending with excellent credit, indicating low risk."
acct_0000904,231,301.8,89572,excellent,low,1,Accountant,prime,"Long-tenured with excellent credit and moderate spending, low risk."
acct_0000905,191,257.95,51303,excellent,low,1,Marketing Manager,prime,Excellent credit and steady spending reflect a stable financial profile.
acct_0000906,211,149.7,73861,excellent,low,1,Nurse,prime,"Good credit with consistent spending, indicating responsible financial behavior."
acct_0000907,226,202.33,47040,good,low,1,Sales Representative,prime,Good credit and moderate spending show financial reliability.
acct_0000908,202,174.48,25581,fair,high,1,Retail Worker,subprime,High-risk customer with fair credit and inconsistent spending patterns.
acct_0000909,235,268.95,43403,excellent,low,1,Project Manager,prime,Excellent credit and steady spending demonstrate low risk.
acct_0000910,148,170.15,18254,excellent,low,1,Research Scientist,prime,Excellent credit with low spending reflects a stable financial situation.
acct_0000911,202,191.94,79322,good,low,1,Administrative Assistant,prime,Good credit and consistent spending indicate reliability and low risk.
acct_0000912,106,67.83,26517,excellent,low,1,Student,student,Young cardholder with excellent credit but low spending habits.
acct_0000913,225,164.5,43873,good,low,1,Engineer,prime,Good credit with consistent spending shows financial responsibility.
acct_0000914,205,89.35,98201,good,low,1,Customer Service Rep,prime,Good credit and low spending indicate a low-risk profile.
acct_0000915,236,167.22,63276,good,low,1,Web Developer,prime,Long-term cardholder with good credit and stable spending.
acct_0000916,235,246.52,51269,excellent,low,1,Financial Analyst,prime,Excellent credit and moderate spending reflect a stable financial profile.
acct_0000917,231,244.05,58870,good,low,1,HR Specialist,prime,"Good credit with consistent spending habits, indicating low risk."
acct_0000918,213,253.31,80566,excellent,low,1,Doctor,prime,Excellent credit and stable spending habits reflect financial stability.
acct_0000919,223,242.92,32903,good,low,1,Sales Manager,prime,Good credit and consistent spending demonstrate financial reliability.
acct_0000920,195,437.28,67276,fair,high,1,Freelancer,subprime,High-risk customer with fair credit and high spending variability.
acct_0000921,201,144.02,88541,fair,high,1,Cashier,subprime,High-risk profile with fair credit and low spending consistency.
acct_0000922,237,849.71,61516,excellent,low,1,Entrepreneur,prime,Excellent credit and high monthly spend indicate a strong financial position.
acct_0000923,222,91.12,50188,excellent,low,1,Intern,student,Young cardholder with excellent credit and low spending habits.
acct_0000924,238,98.17,23061,excellent,low,1,Retired,prime,Excellent credit and low spending reflect a low-risk customer.
acct_0000925,200,277.02,32345,good,high,1,Delivery Driver,subprime,High-risk customer with good credit and fluctuating spending patterns.
acct_0000926,218,346.97,95141,poor,high,1,Retail Assistant,subprime,High-risk customer with poor credit and moderate spending habits.
acct_0000927,233,162.36,58712,good,high,1,Graphic Designer,subprime,High-risk customer with good credit and low monthly spending.
acct_0000928,238,284.63,37120,excellent,low,1,Software Engineer,prime,Low-risk customer with excellent credit and stable spending patterns.
acct_0000929,231,196.14,47652,excellent,low,1,Accountant,prime,Low-risk customer with excellent credit and consistent spending.
acct_0000930,236,376.46,62020,good,low,1,Marketing Manager,prime,Low-risk customer with good credit and high monthly expenditures.
acct_0000931,206,100.01,58378,excellent,low,1,Student,student,Low-risk customer with excellent credit and minimal spending.
acct_0000932,231,167.78,72979,good,high,1,Sales Representative,subprime,High-risk customer with good credit and low spending.
acct_0000933,231,273.34,33174,good,low,1,Project Manager,prime,Low-risk customer with good credit and solid monthly spending.
acct_0000934,228,336.9,68430,excellent,low,1,Civil Engineer,prime,Low-risk customer with excellent credit and high monthly spending.
acct_0000935,231,133.9,49840,excellent,medium,1,Business Analyst,medium,Medium-risk customer with excellent credit and average spending.
acct_0000936,209,61.75,94652,excellent,low,1,Retired,prime,Low-risk customer with excellent credit and minimal spending.
acct_0000937,217,419.06,24212,good,low,1,Teacher,prime,Low-risk customer with good credit and high monthly expenditures.
acct_0000938,223,225.14,23359,good,low,1,Nurse,prime,Low-risk customer with good credit and moderate spending.
acct_0000939,222,198.45,51548,excellent,low,1,Research Scientist,prime,Low-risk customer with excellent credit and consistent spending.
acct_0000940,214,248.49,55751,fair,high,1,Construction Worker,subprime,High-risk customer with fair credit and moderate spending.
acct_0000941,235,263.25,72178,fair,high,1,Warehouse Supervisor,subprime,High-risk customer with fair credit and moderate spending habits.
acct_0000942,226,198.06,46362,good,high,1,IT Consultant,subprime,High-risk customer with good credit and low monthly expenditures.
acct_0000943,237,247.96,92233,excellent,low,1,Financial Advisor,prime,Low-risk customer with excellent credit and moderate spending.
acct_0000944,225,462.41,52674,excellent,low,1,Real Estate Agent,prime,Low-risk customer with excellent credit and high monthly expenditures.
acct_0000945,198,248.02,21640,fair,high,1,Retail Manager,subprime,High-risk customer with fair credit and moderate spending behavior.
acct_0000946,195,107.99,20729,good,low,1,Data Analyst,prime,Low-risk customer with good credit and low spending.
acct_0000947,232,455.59,97605,excellent,low,1,Graphic Designer,prime,Low-risk customer with excellent credit and high monthly spending.
acct_0000948,222,169.03,22068,good,low,1,Marketing Coordinator,prime,Low-risk customer with good credit and moderate spending.
acct_0000949,210,578.89,95305,good,low,1,Software Developer,prime,Low-risk customer with good credit and high monthly expenditures.
acct_0000950,218,271.72,35026,fair,low,1,Customer Service Rep,subprime,Low-risk customer with fair credit and moderate spending.
acct_0000951,239,232.03,18406,excellent,low,1,Software Engineer,prime,Stable customer with excellent credit and consistent low monthly spend.
acct_0000952,231,151.8,37423,good,low,1,Teacher,prime,Reliable customer with good credit and moderate monthly spend.
acct_0000953,236,153.91,65322,good,low,1,Nurse,prime,Steady customer with good credit and consistent monthly spending.
acct_0000954,228,176.26,48510,poor,high,1,Retail Worker,subprime,High-risk customer with poor credit and fluctuating monthly spend.
acct_0000955,223,144.43,80701,poor,high,1,Construction Worker,subprime,High-risk customer with poor credit and low monthly spend.
acct_0000956,203,195.33,64988,excellent,low,1,Accountant,prime,Stable customer with excellent credit and moderate monthly spending.
acct_0000957,237,324.81,46070,good,low,1,Sales Manager,prime,Reliable customer with good credit and above-average monthly spend.
acct_0000958,225,553.55,67115,fair,high,1,Freelancer,subprime,High-risk customer with fair credit and high monthly spend.
acct_0000959,228,111.15,97430,poor,high,1,Waiter,subprime,High-risk customer with poor credit and low monthly spend.
acct_0000960,182,108.3,47062,excellent,low,1,Student,student,Low-risk student customer with excellent credit and minimal spending.
acct_0000961,232,174.05,23809,good,medium,1,Graphic Designer,medium,Moderate-risk customer with good credit and average monthly spend.
acct_0000962,235,352.04,46790,excellent,low,1,IT Specialist,prime,Stable customer with excellent credit and above-average monthly spend.
acct_0000963,208,83.12,85609,excellent,low,1,Retired,prime,Stable customer with excellent credit and low monthly spend.
acct_0000964,188,375.09,29586,fair,high,1,Delivery Driver,subprime,High-risk customer with fair credit and significant monthly spend.
acct_0000965,229,182.89,95421,fair,high,1,Warehouse Worker,subprime,High-risk customer with fair credit and moderate monthly spend.
acct_0000966,231,223.06,62946,excellent,low,1,Engineer,prime,Stable customer with excellent credit and moderate monthly spending.
acct_0000967,96,41.25,64140,good,medium,1,Retail Associate,medium,Moderate-risk customer with good credit and low monthly spend.
acct_0000968,222,525.17,38533,fair,high,1,Artist,subprime,High-risk customer with fair credit and very high monthly spend.
acct_0000969,213,271.77,92840,fair,high,1,Consultant,subprime,High-risk customer with fair credit and significant monthly spending.
acct_0000970,169,80.47,13245,excellent,low,1,Student,student,Low-risk student customer with excellent credit and low spending.
acct_0000971,211,218.37,36880,excellent,low,1,Web Developer,prime,Stable customer with excellent credit and above-average monthly spend.
acct_0000972,189,45.57,47655,poor,high,1,Part-time Worker,subprime,High-risk customer with poor credit and low monthly spend.
