ft_case_id,transaction_id,account_num,loss_dt,reported_dt,fraud_type_cd,gross_fraud_amt,merchant_credit_amt,net_fraud_amt,chargeback_amt,chargeback_cnt,total_transaction_cnt,external_status_desc,case_narrative,loss_type_desc
case_0000601,txn_00018844,acct_0003495,2026-03-02,2026-03-21,FPF,19.3,0.04,19.26,0.25,1,11,Fraud Investigation - Awaiting Customer Response,"A cardholder in Italy found a $600 unauthorized charge at a local restaurant in New York, connected to a card reported lost while traveling.",Recovered
case_0000602,txn_00018866,acct_0000700,2026-02-20,2026-02-24,LST,15,3.76,11.24,11.33,1,3,Fraudulent Transaction - Account Closed,"A suspicious $1,800 transaction in Vancouver led to the discovery of a skimming device at a popular tourist ATM.",Net
case_0000603,txn_00018868,acct_0003178,2026-01-05,2026-01-25,ATO,63.02,26.6,36.42,13.77,2,7,Potential Fraud - Customer Contacted,"Analyzed $500 overseas purchase of software licenses from a Chinese vendor, originating from a card reported lost in France.",Gross
case_0000604,txn_00018957,acct_0003957,2026-01-12,2026-01-15,LST,237.72,20.51,217.21,25.14,0,9,Suspicious Activity - Temporary Hold Placed,A fraudulent charge of $150 at a gas station in Texas was linked to a stolen card reported by the owner from an overseas vacation.,Gross
case_0000605,txn_00019042,acct_0001384,2026-03-22,2026-03-24,ATO,90.34,19.41,70.93,78.02,2,2,Fraud Investigation - Awaiting Customer Response,"Flagged $200 charge for software subscription in the Philippines, linked to a compromised account in a recent global breach.",Net
case_0000606,txn_00019080,acct_0002890,2026-02-18,2026-03-02,ATO,395.81,69.35,326.46,27.44,3,4,Suspicious Activity - Temporary Hold Placed,"Flagged $200 charge for software subscription in the Philippines, linked to a compromised account in a recent global breach.",Net
case_0000607,txn_00019126,acct_0003502,2026-02-20,2026-03-08,FPF,329.43,21.19,308.24,104.69,2,7,Confirmed Fraud - Chargeback Filed,"Victim in India reported a SIM swap; $1,700 stolen from their account via fraudulent online transactions.",Net
case_0000608,txn_00019136,acct_0004823,2026-01-19,2026-01-20,CTF,369.97,2.59,367.38,112.14,3,2,Fraud Case Resolved - Account Restored,"A cardholder in Florida flagged a $700 transaction in a local shop as fraudulent, linked to a card reported lost while vacationing in the Bahamas.",Gross
case_0000609,txn_00019144,acct_0000789,2026-03-27,2026-03-30,CNP,29.31,16.08,13.23,7.28,0,9,Fraudulent Activity - Account Suspended,Detected a $600 skimming incident at a hotel in Las Vegas; several guests reported unauthorized transactions on their accounts.,Recovered
case_0000610,txn_00019168,acct_0003394,2026-01-20,2026-02-05,CNP,70.22,40.66,29.56,8.95,2,6,Fraud Suspected - Investigation Ongoing,Victim in Saudi Arabia reported a SIM swap; $800 drained via online banking transactions.,Net
case_0000611,txn_00019187,acct_0001306,2026-02-03,2026-02-14,CTF,415.3,225.26,190.04,199.24,1,10,Fraud Alert - Transaction Declined,"Flagged fraudulent $75 subscription renewal on a streaming service in Australia, traced back to a card used in a recent data breach.",Net
case_0000612,txn_00019207,acct_0002028,2026-03-25,2026-04-10,FPF,26.61,15.26,11.35,15.29,3,3,Fraud Alert - Transaction Declined,"Detected a $4,200 purchase in Berlin from a counterfeit card; linked to a recent data leak in a major retail chain.",Recovered
case_0000613,txn_00019272,acct_0002599,2026-03-02,2026-03-21,BUS,75.72,39.14,36.58,62.41,0,3,Fraud Review Completed - No Action Needed,A fraudulent charge of $800 at a casino in Las Vegas was flagged against a lost card reported by a customer visiting from Canada.,Gross
case_0000614,txn_00019303,acct_0002236,2026-03-28,2026-04-09,FPF,206.94,2.17,204.77,184.4,3,5,Fraud Investigation - Awaiting Customer Response,"A stolen card was used for a $700 online purchase in Italy, with the cardholder in Chicago reporting it lost during a recent trip.",Recovered
case_0000615,txn_00019386,acct_0000429,2026-02-16,2026-03-02,ATO,29.14,5.99,23.15,2.95,1,5,Confirmed Fraud - Refund Process Initiated,"Investigator flagged a $3,300 online purchase from a counterfeit card; linked to a skimming operation in a neighboring state.",Gross
case_0000616,txn_00019394,acct_0000731,2026-02-17,2026-02-20,LST,1030.58,170.37,860.21,285.83,1,3,Fraudulent Transaction - Account Closed,"Account takeover in Colorado; $2,000 spent on airline tickets after hackers gained access through social media.",Recovered
case_0000617,txn_00019404,acct_0003758,2026-02-20,2026-03-02,LST,55.65,30.93,24.72,13.44,3,2,Fraud Suspected - Investigation Ongoing,"A $950 transaction flagged in New Orleans, linked to a local skimming operation that affected several cardholders in the area.",Gross
case_0000618,txn_00019406,acct_0003142,2026-02-19,2026-02-22,BUS,45.47,13.89,31.58,23.45,1,8,Fraud Alert - Transaction Declined,"A stolen card was used for a $900 purchase at a tech store in Japan, reported lost by a traveler from San Francisco.",Gross
case_0000619,txn_00019441,acct_0001946,2026-02-09,2026-02-21,ATO,35.95,14.01,21.94,18.58,2,8,Fraudulent Transaction - Account Closed,"A stolen card was used for a $700 online purchase in Italy, with the cardholder in Chicago reporting it lost during a recent trip.",Gross
case_0000620,txn_00019467,acct_0003390,2026-01-20,2026-01-23,BUS,149.91,32.26,117.65,62.79,2,9,Fraud Alert - Transaction Declined,"A stolen card was used for a $350 purchase at a hotel in Dubai, reported by a cardholder returning from an overseas trip.",Net
case_0000621,txn_00019520,acct_0003817,2026-01-21,2026-01-24,BUS,923.28,514.96,408.32,658.56,0,7,Suspicious Activity - Temporary Hold Placed,"A cardholder in Florida flagged a $700 transaction in a local shop as fraudulent, linked to a card reported lost while vacationing in the Bahamas.",Gross
case_0000622,txn_00019543,acct_0002495,2026-02-18,2026-02-20,ATO,36.19,21.09,15.1,11.42,1,7,Fraudulent Transaction - Account Closed,"A $4,600 purchase at a luxury retailer in London flagged as fraudulent; traced back to multiple compromised accounts in the area.",Recovered
case_0000623,txn_00019574,acct_0002738,2026-03-15,2026-03-23,CTF,475.49,170.13,305.36,62.12,3,9,Confirmed Fraud - Chargeback Filed,"A $3,500 overseas purchase in Tokyo traced back to a counterfeit card, linked to a phishing scheme targeting travelers.",Gross
case_0000624,txn_00019646,acct_0000519,2026-01-14,2026-01-29,FPF,88.36,15.7,72.66,60.91,0,5,Suspicious Activity - Temporary Hold Placed,"Identified unauthorized $80 e-commerce transaction for clothing in Canada, originating from a card linked to a known fraud ring in the U.S.",Net
case_0000625,txn_00019665,acct_0001765,2026-01-14,2026-01-22,FPF,1937.62,283.89,1653.73,935.76,0,2,Fraudulent Activity - Account Suspended,"Case in Portugal; account takeover allowed scammers to purchase $3,000 worth of luxury watches online.",Net
