customer_id,credit_score_band,utilization_pct,delinquency_count_12mo,account_age_months,default_label,credit_profile_note
acct_0008996,good,0.248,3,39,0,"Good band, 24.8% utilization, 3 delinquencies, and has not defaulted."
acct_0008997,fair,0.313,11,172,0,"Fair band, 31.3% utilization, 11 delinquencies, and has not defaulted."
acct_0008998,good,0.675,9,222,0,"Good band, 67.5% utilization, 9 delinquencies, and has not defaulted."
acct_0008999,good,0.216,5,103,0,"Good band, 21.6% utilization, 5 delinquencies, and has not defaulted."
acct_0009000,fair,0.071,12,136,0,"Fair band, 7.1% utilization, 12 delinquencies, and has not defaulted."
acct_0009001,good,0.558,4,104,0,"Good band, 55.8% utilization, 4 delinquencies, no default."
acct_0009002,good,0.352,8,237,0,"Good band, 35.2% utilization, 8 delinquencies, no default."
acct_0009003,excellent,0.088,0,25,0,"Excellent band, 8.8% utilization, no delinquencies, no default."
acct_0009004,fair,0.94,11,216,1,"Fair band, 94% utilization, 11 delinquencies, defaulted."
acct_0009005,fair,0.429,10,27,0,"Fair band, 42.9% utilization, 10 delinquencies, no default."
acct_0009006,good,0.874,0,156,0,"Good band, 87.4% utilization, no delinquencies, no default."
acct_0009007,fair,0.094,10,76,0,"Fair band, 9.4% utilization, 10 delinquencies, no default."
acct_0009008,poor,0.39,12,137,0,"Poor band, 39% utilization, 12 delinquencies, no default."
acct_0009009,good,0.079,11,205,0,"Good band, 7.9% utilization, 11 delinquencies, no default."
acct_0009010,fair,0.16,7,1,0,"Fair band, 16% utilization, 7 delinquencies, no default."
acct_0009011,good,0.048,12,228,0,"Good band, 4.8% utilization, 12 delinquencies, no default."
acct_0009012,excellent,0.402,6,221,0,"Excellent band, 40.2% utilization, 6 delinquencies, no default."
acct_0009013,fair,0.903,10,230,1,"Fair band, 90.3% utilization, 10 delinquencies, defaulted."
acct_0009014,fair,0.236,12,94,0,"Fair band, 23.6% utilization, 12 delinquencies, no default."
acct_0009015,good,0.691,1,58,0,"Good band, 69.1% utilization, 1 delinquency, no default."
acct_0009016,excellent,0.278,7,57,0,"Excellent band, 27.8% utilization, 7 delinquencies, no default."
acct_0009017,poor,0.747,10,126,1,"Poor band, 74.7% utilization, 10 delinquencies, defaulted."
acct_0009018,good,0.063,8,47,0,"Good band, 6.3% utilization, 8 delinquencies, no default."
acct_0009019,poor,0.27,10,0,0,"Poor band, 27% utilization, 10 delinquencies, no default."
acct_0009020,fair,0.998,3,153,1,"Fair band, 99.8% utilization, 3 delinquencies, defaulted."
acct_0009021,excellent,0.165,2,109,0,"Excellent band, 16.5% utilization, 2 delinquencies, no default."
acct_0009022,fair,0.8,5,135,0,"Fair band, 80% utilization, 5 delinquencies, no default."
acct_0009023,fair,0.786,6,172,0,"Fair band, 78.6% utilization, 6 delinquencies, no default."
acct_0009024,fair,0.363,12,45,0,"Fair band, 36.3% utilization, 12 delinquencies, no default."
acct_0009025,good,0.359,0,42,0,"Good band, 35.9% utilization, no delinquencies, no default."
acct_0009026,good,0.094,12,73,1,Good band but high delinquency with a default.
acct_0009027,fair,0.337,8,116,1,"Fair band, high utilization, and defaulted."
acct_0009028,excellent,0.194,3,62,0,Excellent band with low utilization and no default.
acct_0009029,fair,0.807,3,55,0,"Fair band, high utilization, and no default."
acct_0009030,excellent,0.144,0,88,0,Excellent band with low utilization and no default.
acct_0009031,fair,0.917,4,239,0,"Fair band, very high utilization, and no default."
acct_0009032,poor,0.515,10,26,1,Poor band with high delinquency and defaulted.
acct_0009033,fair,0.703,5,72,0,"Fair band, high utilization, and no default."
acct_0009034,good,0.3,1,85,0,Good band with moderate utilization and no default.
acct_0009035,fair,0.244,12,102,0,"Fair band, high delinquency, and no default."
acct_0009036,good,0.596,4,115,0,Good band with high utilization and no default.
acct_0009037,poor,0.994,6,170,1,"Poor band, very high utilization, and defaulted."
acct_0009038,good,0.229,9,110,0,Good band with low utilization and no default.
acct_0009039,excellent,0.218,6,120,0,Excellent band with low utilization and no default.
acct_0009040,poor,0.894,8,4,0,"Poor band, high utilization, and no default."
acct_0009041,poor,0.52,12,173,0,Poor band with high delinquency and no default.
acct_0009042,excellent,0.04,11,139,0,Excellent band with very low utilization and no default.
acct_0009043,excellent,0.159,2,30,0,Excellent band with low utilization and no default.
acct_0009044,fair,0.801,3,64,0,"Fair band, high utilization, and no default."
acct_0009045,fair,0.541,3,156,0,Fair band with moderate utilization and no default.
acct_0009046,fair,0.339,11,134,0,"Fair band, high delinquency, and no default."
acct_0009047,good,0.261,6,165,0,Good band with low utilization and no default.
acct_0009048,fair,0.73,12,85,0,"Fair band, high utilization, and no default."
acct_0009049,fair,0.881,11,133,1,"Fair band, high utilization, and defaulted."
acct_0009050,good,0.92,2,19,0,Good band with very high utilization and no default.
acct_0009051,fair,0.686,1,70,0,"Fair band, 68.6% utilization, 1 delinquency, no default."
acct_0009052,good,0.715,1,156,0,"Good band, 71.5% utilization, 1 delinquency, no default."
acct_0009053,fair,0.398,11,220,0,"Fair band, 39.8% utilization, 11 delinquencies, no default."
acct_0009054,fair,0.401,9,225,0,"Fair band, 40.1% utilization, 9 delinquencies, no default."
acct_0009055,good,0.706,2,61,0,"Good band, 70.6% utilization, 2 delinquencies, no default."
acct_0009056,excellent,0.03,2,84,0,"Excellent band, 3.0% utilization, 2 delinquencies, no default."
acct_0009057,poor,0.912,9,36,1,"Poor band, 91.2% utilization, 9 delinquencies, defaulted."
acct_0009058,excellent,0.259,5,203,0,"Excellent band, 25.9% utilization, 5 delinquencies, no default."
acct_0009059,poor,0.844,12,103,0,"Poor band, 84.4% utilization, 12 delinquencies, no default."
acct_0009060,excellent,0.73,0,220,0,"Excellent band, 73.0% utilization, 0 delinquencies, no default."
acct_0009061,excellent,0.405,3,200,0,"Excellent band, 40.5% utilization, 3 delinquencies, no default."
acct_0009062,poor,0.868,10,114,1,"Poor band, 86.8% utilization, 10 delinquencies, defaulted."
acct_0009063,good,0.49,4,22,0,"Good band, 49.0% utilization, 4 delinquencies, no default."
acct_0009064,excellent,0.099,1,236,0,"Excellent band, 9.9% utilization, 1 delinquency, no default."
acct_0009065,good,0.011,11,234,0,"Good band, 1.1% utilization, 11 delinquencies, no default."
acct_0009066,good,0.402,6,141,0,"Good band, 40.2% utilization, 6 delinquencies, no default."
acct_0009067,fair,0.262,12,30,0,"Fair band, 26.2% utilization, 12 delinquencies, no default."
acct_0009068,fair,0.476,7,26,0,"Fair band, 47.6% utilization, 7 delinquencies, no default."
acct_0009069,poor,0.908,4,50,0,"Poor band, 90.8% utilization, 4 delinquencies, no default."
acct_0009070,good,0.28,4,40,0,"Good band, 28.0% utilization, 4 delinquencies, no default."
acct_0009071,excellent,0.113,0,152,0,"Excellent band, 11.3% utilization, 0 delinquencies, no default."
acct_0009072,excellent,0.357,0,2,0,"Excellent band, 35.7% utilization, 0 delinquencies, no default."
acct_0009073,good,0.708,0,230,0,"Good band, 70.8% utilization, 0 delinquencies, no default."
acct_0009074,good,0.091,5,110,0,"Good band, 9.1% utilization, 5 delinquencies, no default."
acct_0009075,good,0.985,5,122,1,"Good band, 98.5% utilization, 5 delinquencies, defaulted."
acct_0009076,poor,0.921,11,176,1,"Poor band, high utilization at 92.1%, 11 delinquencies, and has defaulted."
acct_0009077,good,0.052,8,48,0,"Good band, low utilization at 5.2%, 8 delinquencies, and has not defaulted."
acct_0009078,poor,0.724,11,67,0,"Poor band, moderate utilization at 72.4%, 11 delinquencies, and has not defaulted."
acct_0009079,good,0.203,9,151,0,"Good band, low utilization at 20.3%, 9 delinquencies, and has not defaulted."
acct_0009080,good,0.394,8,199,0,"Good band, moderate utilization at 39.4%, 8 delinquencies, and has not defaulted."
acct_0009081,fair,0.884,7,220,0,"Fair band, high utilization at 88.4%, 7 delinquencies, and has not defaulted."
acct_0009082,fair,0.418,11,117,0,"Fair band, moderate utilization at 41.8%, 11 delinquencies, and has not defaulted."
acct_0009083,good,0.935,1,155,0,"Good band, high utilization at 93.5%, 1 delinquency, and has not defaulted."
acct_0009084,fair,0.948,1,116,0,"Fair band, high utilization at 94.8%, 1 delinquency, and has not defaulted."
acct_0009085,excellent,0.29,2,233,0,"Excellent band, low utilization at 29.0%, 2 delinquencies, and has not defaulted."
acct_0009086,excellent,0.376,0,193,0,"Excellent band, low utilization at 37.6%, no delinquencies, and has not defaulted."
acct_0009087,good,0.33,3,47,0,"Good band, low utilization at 33.0%, 3 delinquencies, and has not defaulted."
acct_0009088,poor,0.762,12,97,0,"Poor band, high utilization at 76.2%, 12 delinquencies, and has not defaulted."
acct_0009089,fair,0.528,12,140,1,"Fair band, moderate utilization at 52.8%, 12 delinquencies, and has defaulted."
acct_0009090,fair,0.513,11,115,0,"Fair band, moderate utilization at 51.3%, 11 delinquencies, and has not defaulted."
acct_0009091,fair,0.68,7,88,1,"Fair band, high utilization at 68.0%, 7 delinquencies, and has defaulted."
acct_0009092,good,0.342,2,141,0,"Good band, low utilization at 34.2%, 2 delinquencies, and has not defaulted."
acct_0009093,fair,0.444,6,45,0,"Fair band, moderate utilization at 44.4%, 6 delinquencies, and has not defaulted."
acct_0009094,fair,0.725,9,120,0,"Fair band, high utilization at 72.5%, 9 delinquencies, and has not defaulted."
acct_0009095,fair,0.881,9,124,1,"Fair band, high utilization at 88.1%, 9 delinquencies, and has defaulted."
acct_0009096,good,0.29,2,72,0,"Good band, low utilization at 29.0%, 2 delinquencies, and has not defaulted."
acct_0009097,fair,0.653,10,149,1,"Fair band, moderate utilization at 65.3%, 10 delinquencies, and has defaulted."
acct_0009098,fair,0.213,9,54,0,"Fair band, low utilization at 21.3%, 9 delinquencies, and has not defaulted."
acct_0009099,good,0.373,1,51,0,"Good band, low utilization at 37.3%, 1 delinquency, and has not defaulted."
acct_0009100,fair,0.674,9,196,0,"Fair band, high utilization at 67.4%, 9 delinquencies, and has not defaulted."
acct_0009101,poor,0.86,5,105,1,"Poor band, 86% utilization, 5 delinquencies, defaulted."
acct_0009102,fair,0.891,8,221,0,"Fair band, 89% utilization, 8 delinquencies, not defaulted."
acct_0009103,fair,0.311,9,82,0,"Fair band, 31% utilization, 9 delinquencies, not defaulted."
acct_0009104,fair,0.887,4,81,0,"Fair band, 89% utilization, 4 delinquencies, not defaulted."
acct_0009105,good,0.293,1,11,0,"Good band, 29% utilization, 1 delinquency, not defaulted."
acct_0009106,good,0.498,6,25,0,"Good band, 50% utilization, 6 delinquencies, not defaulted."
acct_0009107,good,0.354,4,103,0,"Good band, 35% utilization, 4 delinquencies, not defaulted."
acct_0009108,fair,0.803,7,61,0,"Fair band, 80% utilization, 7 delinquencies, not defaulted."
acct_0009109,fair,0.733,1,21,0,"Fair band, 73% utilization, 1 delinquency, not defaulted."
acct_0009110,excellent,0.259,8,188,0,"Excellent band, 26% utilization, 8 delinquencies, not defaulted."
acct_0009111,good,0.374,4,59,0,"Good band, 37% utilization, 4 delinquencies, not defaulted."
acct_0009112,good,0.711,1,151,0,"Good band, 71% utilization, 1 delinquency, not defaulted."
acct_0009113,good,0.982,0,40,0,"Good band, 98% utilization, no delinquencies, not defaulted."
acct_0009114,excellent,0.355,4,235,0,"Excellent band, 36% utilization, 4 delinquencies, not defaulted."
acct_0009115,poor,0.864,12,25,0,"Poor band, 86% utilization, 12 delinquencies, not defaulted."
acct_0009116,fair,0.41,8,239,0,"Fair band, 41% utilization, 8 delinquencies, not defaulted."
acct_0009117,fair,0.866,5,154,0,"Fair band, 87% utilization, 5 delinquencies, not defaulted."
acct_0009118,good,0.292,11,125,1,"Good band, 29% utilization, 11 delinquencies, defaulted."
acct_0009119,poor,0.9,9,33,0,"Poor band, 90% utilization, 9 delinquencies, not defaulted."
acct_0009120,poor,0.79,12,122,0,"Poor band, 79% utilization, 12 delinquencies, not defaulted."
acct_0009121,fair,0.423,11,73,0,"Fair band, 42% utilization, 11 delinquencies, not defaulted."
acct_0009122,good,0.205,10,207,0,"Good band, 20% utilization, 10 delinquencies, not defaulted."
acct_0009123,fair,0.39,8,130,0,"Fair band, 39% utilization, 8 delinquencies, not defaulted."
acct_0009124,fair,0.618,4,3,0,"Fair band, 62% utilization, 4 delinquencies, not defaulted."
